"ID","nombrecompleto","INSTITUCION","NOMBRE","APELLIDO","Cargo","DestinoJunto","Pais","LatLong","Participacion","SALIDA","ano","REGRESO","CostoPasajes","costoNota","CostoViaticos","ViaticosNota","INFORME","informeNumber"
3001,"María Vergara","MICI","María","Vergara","Promotora de inversiones de la dirección general de cine","estados unidos de américa","estados unidos de américa","39,828175:-98,5795'","Participó del ""AFCI Location Show"" realizado en Los Angeles, California","20/4/2016",2016,"24/4/2016","401.91",,2000,,"no","No"
3002,"Essie Mastellari","MICI","Essie","Mastellari","Directora nacional de la dirección de promoción de la inversión","estados unidos de américa","estados unidos de américa","39,828175:-98,5795'","Participó del ""AFCI Location Show"" realizado en Los Angeles, California","20/4/2016",2016,"24/4/2016","401.91",,2000,,"no","No"
3003,"Keren Batista","MICI","Keren","Batista","Promotora de exportaciones de la dirección general de promoción de exportaciones","perú","perú","-10:-76'","Participó del ""Seminario Desarrollo e Internalización de la PYME y Facilitación del Comercio en el Marco de la Alianza del Pacifico""realizado en Lima, Perú","19/4/2016",2016,"21/4/2016",,,400,,"no","No"
3004,"Ivelín Herrera","MICI","Ivelin","Herrera","Asesora de la oficina de negociaciones comerciales internacionales","perú","perú","-10:-76'","Participó en el ""Seminario Desarrollo e Internalización de la PYME y Facilitación de Comercio en el Marco de la Alianza del Pacífico"" realizado en Lima Perú","19/4/2016",2016,"21/4/2016",,,400,,"no","No"
3005,"Augusto Arosemena","MICI","Augusto","Arosemena","Ministro del ministerio de comercio e industrias","japón","japón","36:138'","Participó del ""Panamá Invest Japón - 2016"" realizado en Tokio, Japón","15/4/2016",2016,"23/4/2016","24814.85",,2800,,"no","No"
3006,"Norman Harris","MICI","Norman","Harris","Asesor del despacho de la viceministra de la oficina de negociaciones comerciales internacionales","guatemala","guatemala","15,5:-90,25'","Participó de la ""Reunión sobre Macanismos de Solución de Controversias Comerciales entre Centroamerica MSC"" realizado en Guatemala","13/4/2016",2016,"15/4/2016","730.1",,800,,"no","No"
3007,"Linda Castillo","MICI","Linda","Castillo","Director general de defensa comercial de la dirección nacional de administración de tratados comerciales internacionales y defensa comercial","guatemala","guatemala","15,5:-90,25'","Participó de la ""Reunión sobre Macanismos de Solución de Controversias Comerciales entre Centroamerica MSC"" realizado en Guatemala","13/4/2016",2016,"15/4/2016","730.1",,800,,"no","No"
3008,"Alexis Pineda","MICI","Alexis","Pineda","Director nacional de la dirección nacional de administración de tratados comerciales internacionales y defensa comercial","guatemala","guatemala","15,5:-90,25'","Participó de la ""Reunión sobre Macanismos de Solución de Controversias Comerciales entre Centroamerica MSC"" realizado en Guatemala","13/4/2016",2016,"15/4/2016","730.1",,800,,"no","No"
3009,"Karla Carvajal","MICI","Karla","Carvajal","Promotora en la dirección naiconal de promoción de las exportaciones","estados unidos de américa","estados unidos de américa","39,828175:-98,5795'","Pariticipó de la ""Feria Specialty Coffee Association of America 2016"" realizado en Atlanta, Giorgia","12/4/2016",2016,"18/4/2016","763.49",,3000,,"no","No"
3010,"Leyda Aparicio","MICI","Leyda","Aparicio","Directora de la dirección general de promoción de las exportaciones","estados unidos de américa","estados unidos de américa","39,828175:-98,5795'","Pariticipó de la ""Feria Specialty Coffee Association of America 2016"" realizado en Atlanta, Giorgia","12/4/2016",2016,"18/4/2016","763.49",,3000,,"no","No"
3011,"Jannice Cigarruista","MICI","Jannice","Cigarruista","Directora general de derecho de autor","chile","chile","-30:-71'","Participó en la ""Reunión Jefes de Oficina de Derecho de Autor - CISAC"" realizado en Santiago de Chile","11/4/2016",2016,"17/4/2016",,,1500,,"no","No"
3012,"Pebbles Muñoz","MICI","Pebbles","Muñoz","Analista de comercio exterior de la dirección nacional de negociaciones comericales internacionales","ecuador","ecuador","-2:-77,5'","Pariticpó del ""Curso Regional Avanzado sobre Tecnicas de Simulación de Negociaciones Comerciales para Países de América Latina"" realizad en Quito, Ecuador","10/4/2016",2016,"16/4/2016",,,600,,"no","No"
3013,"Velkis Afú","MICI","Velkis","Afú","Jefa de asuntos bilaterales y multilaterales de la dirección nacional de negociaciones comerciales internacionales dineci","ecuador","ecuador","-2:-77,5'","Pariticpó del ""Curso Regional Avanzado sobre Tecnicas de Simulación de Negociaciones Comerciales para Países de América Latina"" realizad en Quito, Ecuador","10/4/2016",2016,"16/4/2016",,,600,,"no","No"
3014,"Augusto Arosemena","MICI","Augusto","Arosemena","Ministro del ministerio de comercio e industrias","españa","españa","40:-4'","Participó del ""Panamá Invest Madrid"" realizado en Madrid, España","4/4/2016",2016,"9/4/2016",5500,,2800,,"no","No"
3015,"Diunayquis Lara","MICI","Diunayquis","Lara","Promotora de exportaciones en el viceministerio de comercio exterior","brasil","brasil","-10:-55'","Participó de la ""Feria Intermodal South Amerrica 2016"" realizado rn Sao Paulo, Brasil","3/4/2016",2016,"8/4/2016","882.83",,2500,,"no","No"
3016,"Essie Mastellari","MICI","Essie","Mastellari","Directora nacional de la dirección de promoción de la inversión","españa","españa","40:-4'","Participó del ""Panamá Invest Madrid"" realizado en Madrid, España","3/4/2016",2016,"9/4/2016","1192.08",,3600,,"no","No"
3017,"Jean Digeon","MICI","Jean","Digeon","Promotor de inversiones de la agencia para la atracción de las inversiones y promoción de las exportaciones","españa","españa","40:-4'","Participó del ""Panamá Invest Madrid"" realizado en Madrid, España","3/4/2016",2016,"9/4/2016","1192.08",,3600,,"no","No"
3018,"Margarita Antadillas","MICI","Margarita","Antadillas","Promotor de inversiones de la agencia para la atracción de las inversiones y promoción de las exportaciones","españa","españa","40:-4'","Participó del ""Panamá Invest Madrid"" realizado en Madrid, España","3/4/2016",2016,"9/4/2016","1192.08",,3600,,"no","No"
3019,"Angelo Gutierrez","MICI","Angelo","Gutierrez","Director general de zonas francas","brasil","brasil","-10:-55'","Participó de l ""Intermodal South América"" realizado en Sao Paulo, Brasil","3/4/2016",2016,"8/4/2016","864.17",,2500,,"no","No"
3020,"Marlon Herrera","MICI","Marlon","Herrera","Promotor de inversiones de la agencia para la atracción de las inversiones y promoción de las exportaciones","brasil","brasil","-10:-55'","Participó de l ""Intermodal South América"" realizado en Sao Paulo, Brasil","3/4/2016",2016,"8/4/2016","882.73",,2500,,"no","No"
3021,"Eduardo Palacios","MICI","Eduardo","Palacios","Director nacional de promoción de exportaciones","trinidad y tobago","trinidad y tobago","11:-61'","Partcicipó de una ""Misión Organizada por el Instituto de Mercadeo Agropecuario"" realizado en Trinidad Y Tobago","3/4/2016",2016,"7/4/2016",1009,,1600,,"no","No"
3022,"Judith Jimenez","MICI","Judith","Jimenez","Economista negociadora de la dirección nacional de administración de tratados comerciales y defensa comercial","suiza","suiza","47:8'","Participó de la ""Octogésima Reunión del Comité de Acuerdos Comerciales Regionales de la Organización Mundial del Comercio OMC"" realizado en Ginebra Suiza.","3/4/2016",2016,"7/4/2016","2176.47",,2400,,"no","No"
3023,"Linda Castillo","MICI","Linda","Castillo","Director general de defensa comercial de la dirección nacional de administración de tratados comerciales internacionales y defensa comercial","suiza","suiza","47:8'","Participó de la ""Octogésima Reunión del Comité de Acuerdos Comerciales Regionales de la Organización Mundial del Comercio OMC"" realizado en Ginebra Suiza.","2/4/2016",2016,"7/4/2016","1207.05",,3000,,"no","No"
3024,"Alexis Pineda","MICI","Alexis","Pineda","Director nacional de la dirección nacional de administración de tratados comerciales internacionales y defensa comercial","suiza","suiza","47:8'","Participó de la ""Octogésima Reunión del Comité de Acuerdos Comerciales Regionales de la Organización Mundial del Comercio OMC"" realizado en Ginebra Suiza.","2/4/2016",2016,"7/4/2016","1207.05",,3000,,"no","No"
3025,"Ricardo Quiel","MICI","Ricardo","Quiel","Analista económico de la dirección nacional de negociaciones comerciales internacionales","corea del sur","corea del sur","37:127,5'","Participó de la ""Reunion Artesanal entre Centroamerica y Corea, para la Negociación de las mesas de acceso a Mercados, Reglas de Origen y Servicios e Inversión"" realizado en Seúl Corea del Sur","26/3/2016",2016,"3/4/2016","1577.52",,4800,,"no","No"
3026,"Ana Alfonso","MICI","Ana","Alonso","Economista negociadora de la dirección nacional de negociaciones comerciales internacionales.","corea del sur","corea del sur","37:127,5'","Participó de la ""Reunion Artesanal entre Centroamerica y Corea, para la Negociación de las mesas de acceso a Mercados, Reglas de Origen y Servicios e Inversión"" realizado en Seúl Corea del Sur","26/3/2016",2016,"3/4/2016","1577.52",,4800,,"no","No"
3027,"Pebbles Muñoz","MICI","Pebbles","Muñoz","Analista de comercio exterior de la dirección nacional de negociaciones comericales internacionales","corea del sur","corea del sur","37:127,5'","Participó de la ""Reunion Artesanal entre Centroamerica y Corea, para la Negociación de las mesas de acceso a Mercados, Reglas de Origen y Servicios e Inversión"" realizado en Seúl Corea del Sur","26/3/2016",2016,"3/4/2016","1577.52",,4800,,"no","No"
3028,"Alexander Santoya","MICI","Alexander","Santoya","Jefe de normas de origen de la dirección nacional de negociaciones comerciales internacionales","corea del sur","corea del sur","37:127,5'","Participó de la ""Reunion Artesanal entre Centroamerica y Corea, para la Negociación de las mesas de acceso a Mercados, Reglas de Origen y Servicios e Inversión"" realizado en Seúl Corea del Sur","26/3/2016",2016,"3/4/2016","1577.52",,4800,,"no","No"
3029,"Samuel Moreno","MICI","Samuel","Moreno","Director nacional de asuntos jurídicos de la dirección nacional de negociaciones comerciales internacionales","corea del sur","corea del sur","37:127,5'","Participó de la ""Reunion Artesanal entre Centroamerica y Corea, para la Negociación de las mesas de acceso a Mercados, Reglas de Origen y Servicios e Inversión"" realizado en Seúl Corea del Sur","26/3/2016",2016,"3/4/2016","1577.52",,4800,,"no","No"
3030,"Luis Garrido","MICI","Luis","Garrido","Director nacional de la dirección nacional de negociaciones comerciales internacionales","corea del sur","corea del sur","37:127,5'","Participó de la ""Reunion Artesanal entre Centroamerica y Corea, para la Negociación de las mesas de acceso a Mercados, Reglas de Origen y Servicios e Inversión"" realizado en Seúl Corea del Sur","26/3/2016",2016,"3/4/2016","1577.52",,4800,,"no","No"
3031,"Diana Salazar","MICI","Diana","Salazar","Viceminstra de negociaciones comerciales internacionales","corea del sur","corea del sur","37:127,5'","Participó de la ""Reunion Artesanal entre Centroamerica y Corea, para la Negociación de las mesas de acceso a Mercados, Reglas de Origen y Servicios e Inversión"" realizado en Seúl Corea del Sur","26/3/2016",2016,"3/4/2016","8236.6",,5600,,"no","No"
3032,"Jacinto Navarro","MICI","Jacinto","Navarro","Examinador del departamento de variedades vegetales de la dirección general del registro de la propiedad industrial","suiza","suiza","47:8'","Participó dela ""Quincuagésima segunda Sesión del Comité Técnico, Nonagésima Primera sesíon del Comité Consultivo y de la Trigésima Tercera Sesión Extraordinaria del Consejo d e la UPOV"" realizado en Ginebra, Suiza","12/3/2016",2016,"19/3/2016","1343.2",,4200,,"no","No"
3033,"Alfredo Suescum","MICI","Alfredo","Suescum","Embajador representante permanente de panama ante la omc","reino unido","inglaterra","54:-4'","Participó de la ""Mesa de Dialogo sobre Liberrar el Potencial dela Organización Mundial del Comercio para Ofrecer Ofertas Comerciales Medernas""realizado en Ciudad de Londres Reino Unido","12/3/2016",2016,"16/3/2016",2360,,600,,"no","No"
3034,"Néstor González","MICI","Néstor","Gonzalez","Viceministro de comercio exterior, del despacho superior","estados unidos de américa","estados unidos de américa","39,828175:-98,5795'","Participó del ""Sea Food Expo North America"" realizado en Boston, Massachusetts USA","5/3/2016",2016,"8/3/2016","1169.89",,1800,,"no","No"
3035,"Julissa Estrada","MICI","Julissa","Estrada","Abogada negociadora de la dirección nacional de administración de tratados comerciales internacionales","estados unidos de américa","estados unidos de américa","39,828175:-98,5795'","Participó en la ""III ronda de Negociación del Tratado de Libre Comercio entre Centroamerica y la Republica de Corea"" realizado en Ciudad de San Francisco, California.","21/2/2016",2016,"27/2/2016",,,500,,"no","No"
3036,"Alfredo Suescum","MICI","Alfredo","Suescum","Embajador de la misión permanente de panamá ante la omc","kenia","kenia","1:38'","Participó de la ""Decimocuarta Sesión de la Conferencia de Naicones Unidas para el Comercio y Desarrollo UNCTAD"" realizado en Nairobi, Kenia.","13/7/2016",2016,"24/7/2016",,,1650,,"no","No"
3037,"Luis Garrido","MICI","Luis","Garrido","Director nacional de la dirección naiconal de negociaciones comerciales internacionales dineci","costa rica","costa rica","10:-84'","Participó de ""II Reunión Intersesional en el Marco de las Negociaciones del Tratado de Libre Comercio entre Centroamérica y Corea"" realizado San José, Costa Rica.","12/7/2016",2016,"16/7/2016","726.94",,1600,,"no","No"
3038,"Alexander Santoya","MICI","Alexander","Santoya","Jefe de normas de origen de la dirección de negociaciones comerciales internaiconales dineci","costa rica","costa rica","10:-84'","Participó de la ""III Reunión Intersesional para la Negociación del Tratado de Libre Comercio entre Centroamérica y la República de Corea"" realizado en San Jóse, Costa Rica.","12/7/2016",2016,"16/7/2016","205.79",,1600,,"no","No"
3039,"Pebbles Muñoz","MICI","Pebbles","Muñoz","Analista de comercio exterior de la dirección nacional de negociaciones comerciales internacionales dineci","costa rica","costa rica","10:-84'","Participó de la ""III Reunión Intersesional para la Negociación del Tratado de Libre Comercio entre Centroamérica y la República de Corea"" realizado en San Jóse, Costa Rica.","12/7/2016",2016,"16/7/2016","205.79",,1600,,"no","No"
3040,"Julissa Estrada","MICI","Julissa","Estrada","Abogada negociadora de la dirección de negociaciones comerciales internacionales dineci","costa rica","costa rica","10:-84'","Participó de la ""III Reunión Intersesional para la Negociación del Tratado de Libre Comercio entre Centroamérica y la República de Corea"" realizado en San Jóse, Costa Rica.","12/7/2016",2016,"16/7/2016","205.79",,1600,,"no","No"
3041,"Diana Salazar","MICI","Diana","Salazar","Viceminstra de negociaciones comerciales internacionales","costa rica","costa rica","10:-84'","Participó de ""II Reunión Intersesional en el Marco de las Negociaciones del Tratado de Libre Comercio entre Centroamérica y Corea"" realizado San José, Costa Rica.","12/7/2016",2016,"15/7/2016","759.37",,1500,,"no","No"
3042,"Ana Alfonso","MICI","Ana","Alfonso","Economista negociadora de la dirección de negociaciones comerciales internacionales dineci","uruguay","uruguay","-33:-56'","Participó de la ""X Reunión de Negociación sobre el Régimen General de Origen - ALADI (Asociación Latinoamericana de Integración)"" realizado en Ciudad de Montevideo, Uruguay","10/7/2016",2016,"16/7/2016",,,600,,"no","No"
3043,"Pilar Santiago","MICI","Pilar","Santiago","Abogada negociadora de la dirección de negociaciones comerciales internacionales dineci","suiza","suiza","47:8'","Participó de la ""Ronda de Negociaciones del Acuerdo de Comercios de Servicios TISA) realizado en Ginebra, Suiza.","8/7/2016",2016,"19/7/2016","1234.8",,6600,,"no","No"
3044,"Norman Harris","MICI","Norman","Harris","Asesora de la oficina de negociaciones comerciales internacionales","suiza","suiza","47:8'","Participó de la ""Ronda de Negociaciones del Acuerdo de Comercios de Servicios TISA) realizado en Ginebra, Suiza.","7/7/2016",2016,"19/7/2016","1281.68",,7200,,"no","No"
3045,"Samuel Moreno","MICI","Samuel","Moreno","Director general de asuntos jurídicos de la dirección de negociaciones comerciales internacionales dineci","costa rica","costa rica","10:-84'","Participó de la ""III Reunión Intersesional para la Negociación del Tratado de Libre Comercio entre Centroamérica y la República de Corea"" realizado en San Jóse, Costa Rica.","5/7/2016",2016,"9/7/2016","205.79",,1600,,"no","No"
3046,"Raquel Martínez","MICI","Raquel","Martínez","Jefa del departamento de marcas, encargada, de la dirección general del registro de la propiedad industrial","brasil","brasil","-10:-55'","Participó del ""XXXIV Taller Regional para las Oficinas de Propiedad Industial de América Latina"" realizado en Río de Janeiro, Brasil","3/7/2016",2016,"9/7/2016",,,750,,"no","No"
3047,"Luis Garrido","MICI","Luis","Garrido","Director nacional de la dirección naiconal de negociaciones comerciales internacionales dineci","honduras","honduras","15:-86,5'","Participó de la ""Reunión de Coordinación Previo a la Reunión Intersesional del Tratado de Libre Comercio entre Centroamérica y la República de Corea"" realizado en Tegucigalpa, Honduras","29/6/2016",2016,"1/7/2016","758.7",,800,,"no","No"
3048,"Lizamor César","MICI","Lizamor","César","Jefa de servicios e inversión de la dirección de negociaciones comerciales internacionaels dineci","honduras","honduras","15:-86,5'","Participó de la ""Reunión de Coordinación Previo a la Reunión Intersesional del Tratado de Libre Comercio entre Centroamérica y la República de Corea"" realizado en Tegucigalpa, Honduras","29/6/2016",2016,"1/7/2016","758.7",,800,,"no","No"
3049,"Pilar Santiago","MICI","Pilar","Santiago","Abogada negociadora de la dirección de negociaciones comerciales internacionales dineci","honduras","honduras","15:-86,5'","Participó de la ""Reunión de Coordinación Previo a la Reunión Intersesional del Tratado de Libre Comercio entre Centroamérica y la República de Corea"" realizado en Tegucigalpa, Honduras","28/6/2016",2016,"1/7/2016","673.7",,1200,,"no","No"
3050,"Ana Alfonso","MICI","Ana","Alfonso","Economista negociadora de la dirección de negociaciones comerciales internacionales dineci","honduras","honduras","15:-86,5'","Participó de la ""Reunión de Coordinación Previo a la Reunión Intersesional del Tratado de Libre Comercio entre Centroamérica y la República de Corea"" realizado en Tegucigalpa, Honduras","28/6/2016",2016,"1/7/2016","673.7",,1200,,"no","No"
3051,"Pebbles Muñoz","MICI","Pebbles","Muñoz","Analista de comercio exterior de la dirección nacional de negociaciones comerciales internacionales dineci","honduras","honduras","15:-86,5'","Participó de la ""Reunión de Coordinación Previo a la Reunión Intersesional del Tratado de Libre Comercio entre Centroamérica y la República de Corea"" realizado en Tegucigalpa, Honduras","28/6/2016",2016,"1/7/2016","673.7",,1200,,"no","No"
3052,"Samuel Moreno","MICI","Samuel","Moreno","Director general de asuntos jurídicos de la dirección de negociaciones comerciales internacionales dineci","honduras","honduras","15:-86,5'","Participó de la ""Reunión de Coordinación Previo a la Reunión Intersesional del Tratado de Libre Comercio entre Centroamérica y la República de Corea"" realizado en Tegucigalpa, Honduras","28/6/2016",2016,"1/7/2016","673.7",,1200,,"no","No"
3053,"Alexander Santoya","MICI","Alexander","Santoya","Jefe de normas de origen de la dirección de negociaciones comerciales internaiconales dineci","honduras","honduras","15:-86,5'","Participó de la ""Reunión de Coordinación Previo a la Reunión Intersesional del Tratado de Libre Comercio entre Centroamérica y la República de Corea"" realizado en Tegucigalpa, Honduras","28/6/2016",2016,"1/7/2016","673.7",,1200,,"no","No"
3054,"Aníbal Nicholson","MICI","Aníbal","Nicholson","Técnico de certificación de calidad de dirección general de normas y tecnología industrial","costa rica","costa rica","10:-84'","Participó de la ""Inspección Técnica de Línea de Tubería Corrugadas de Doble Pared de PVC. DURMAN ESQUIVEL"" realizado en Ciudad Alajuela, Costa Rica.","27/6/2016",2016,"1/7/2016",,,400,,"no","No"
3055,"Néstor González","MICI","Néstor","González","Viceministro de comerico exterior del ministerio de comercio e industrias","chile","chile","-30:-71'","Participó del ""I Encuentro Ministerial de la Alianza del Pacífico y sus Estados Observadores""realizado en Puerto Varas, Chile","27/6/2016",2016,"1/7/2016","2807.34",,2400,,"no","No"
3056,"Desiderio León","MICI","Desiderio","León","Jefe del departamento de patentes de invención de la dirección general del registro de la propiedad industrial","suiza","suiza","47:8'","Participó de la ""Vigésima Cuarta Sesión del Comité Permanente sobre el Derecho de Patentes"" realizado en Ginebra, Suiza","25/6/2016",2016,"1/7/2016",,,900,,"no","No"
3057,"Néstor González","MICI","Néstor","González","Viceministro de comerico exterior del ministerio de comercio e industrias","cuba","cuba","22:-79,5'","Participó de la ""Misión Comercial Organizada por la Cámara de Comercio"" realizado en La Habana, Cuba","22/6/2016",2016,"24/6/2016","2285.4",,1000,,"no","No"
3058,"Diana Salazar","MICI","Diana","Salazar","Viceminstra de negociaciones comerciales internacionales","honduras","honduras","15:-86,5'","Participó de la ""III Reunión Anual del Comité de Asociación del Acuerdo de Asociación entre Centroamérica y la Unión Europea, Reunión de Coordinadores"" realizado en Roatán, Honduras.","22/6/2016",2016,"24/6/2016","1230.59",,1000,,"no","No"
3059,"Alexis Pineda","MICI","Alexis","Pineda","Director nacional de la dirección nacional de administración de tratados comerciales internacionales y defensa comercial","honduras","honduras","15:-86,5'","Participó de la ""III Reunión Anual del Comité de Asociación del Acuerdo de Asociación entre Centroamérica y la Unión Europea, Reunión de Coordinadores"" realizado en Roatán, Honduras.","20/6/2016",2016,"25/6/2016","742.59",,2000,,"no","No"
3060,"Diana Toala","MICI","Diana","Toala","Asesora del viceministro de comercio exterior del ministerio de comercio e industria","taiwan","taiwan","24:121'","Participó del ""The 26th Taipei International Food Show"" realizado en Taipei, República de China - Taiwán","19/6/2016",2016,"26/6/2016","2921.28",,4200,,"no","No"
3061,"Julissa Estrada","MICI","Julissa","Estrada","Abogada negociadora de la dirección de negociaciones comerciales internacionales dineci","honduras","honduras","15:-86,5'","Participó de la ""III Reunión de los Comités y Subcomités en el Marco del Acuerdo de Asociación entre Centroamérica y la Unión Europea"" realizado en Tegucigalpa, Honduras","15/6/2016",2016,"17/6/2016","682.96",,800,,"no","No"
3062,"Linda Castillo","MICI","Linda","Castillo","Directora general de defensa comercial de la dirección nacional de administración de tratados comerciales internacionales y defensa comercial dinatradec","honduras","honduras","15:-86,5'","Participó de la ""III Reunión de los Comités y Subcomités en el Marco del Acuerdo de Asociación entre Centroamérica y la Unión Europea"" realizado en Tegucigalpa, Honduras","14/6/2016",2016,"17/6/2016","682.96",,1200,,"no","No"
3063,"Judith Jimenez","MICI","Judith","Jimenez","Economista de la dirección nacional de administración de tratados comerciales internacionales y defensa comercial","honduras","honduras","15:-86,5'","Participó de la ""III Reunión de los Comités y Subcomités en el Marco del Acuerdo de Asociación entre Centroamérica y la Unión Europea"" realizado en Tegucigalpa, Honduras","14/6/2016",2016,"17/6/2016","682.96",,1200,,"no","No"
3064,"Ruth Harding","MICI","Ruth","Harding","Director general de aministración de tratados de la dirección nacional de administración de tratados comerciales internacionales y defensa comercial dinatradec","honduras","honduras","15:-86,5'","Participó de la ""III Reunión de los Comités y Subcomités en el Marco del Acuerdo de Asociación entre Centroamérica y la Unión Europea"" realizado en Tegucigalpa, Honduras","12/6/2016",2016,"17/6/2016","682.96",,2000,,"no","No"
3065,"Alexander Santoya","MICI","Alexander","Santoya","Jefe de normas de origen de la dirección de negociaciones comerciales internaiconales dineci","honduras","honduras","15:-86,5'","Participó de la ""III Reunión de los Comités y Subcomités en el Marco del Acuerdo de Asociación entre Centroamérica y la Unión Europea"" realizado en Tegucigalpa, Honduras","12/6/2016",2016,"15/6/2016","682.96",,1200,,"no","No"
3066,"Edith Cajar","MICI","Edith","Cajar","Jefa del departamento de normalización de la dirección general de normas y tecnología industrial","el salvador","el salvador","13,833333:-88,916667'","Participó de la ""Reunión Foro Regional de Normalización"" realizado en San Salvador","6/6/2016",2016,"8/6/2016",,,200,,"no","No"
3067,"Aníbal Nicholson","MICI","Aníbal","Nicholson","Técnico de certificación de calidad de dirección general de normas y tecnología industrial","mexico","méxico","23:-102'","Participó de ""Pasantía en el Organismo de Normalización y Certificación Electronica, SC (NYCE),""realizado en México, D.F.","5/6/2016",2016,"11/6/2016",960,,2400,,"no","No"
3068,"Marlon Herrera","MICI","Marlon","Herrera","Promotor de inversiones de la agencia de atracción de la inversión y promoción de la exportación proinvex","chile","chile","-30:-71'","Participó de la ""Comisión Mixta de Cooperación Chile-Panamá"" realizado en Santiago de Chile.","29/5/2016",2016,"4/6/2016","2259.71",,3000,,"no","No"
3069,"Angelo Gutierrez","MICI","Angelo","Gutierrez","Director general de zonas francas","chile","chile","-30:-71'","Participó de la ""Comisión Mixta de Cooperación Chile-Panamá"" realizado en Santiago de Chile.","29/5/2016",2016,"4/6/2016","2249.71",,3000,,"no","No"
3070,"Pilar Santiago","MICI","Pilar","Santiago","Abogada negociadora de la dirección de negociaciones comerciales internacionales dineci","suiza","suiza","47:8'","Participó de la ""Reunión Técnica de Negociaciones del Acuerdo de Comercio de Servicios TISA"" realizado en Ginebra, Suiza","27/5/2016",2016,"4/6/2016","844.02",,4800,,"no","No"
3071,"Lizamor César","MICI","Lizamor","César","Jefa de servicios e inversión de la dirección de negociaciones comerciales internacionaels dineci","suiza","suiza","47:8'","Participó de la ""Reunión Técnica de Negociaciones del Acuerdo de Comercio de Servicios TISA"" realizado en Ginebra, Suiza","27/5/2016",2016,"4/6/2016","844.02",,4800,,"no","No"
3072,"Ana Alfonso","MICI","Ana","Alfonso","Economista negociadora de la dirección de negociaciones comerciales internacionales dineci","honduras","honduras","15:-86,5'","Participó de la ""Cuarta Ronda de Negociación del Tratado de Libre Comercio entre Centroamérica y Corea"" realizado en Tegucigalpa, Honduras.","25/5/2016",2016,"28/5/2016","486.77",,1200,,"no","No"
3073,"Samuel Moreno","MICI","Samuel","Moreno","Director general de asuntos jurídicos de la dirección de negociaciones comerciales internacionales dineci","honduras","honduras","15:-86,5'","Participó de la ""Cuarta Ronda de Negociación del Tratado de Libre Comercio entre Centroamérica y Corea"" realizado en Tegucigalpa, Honduras.","24/5/2016",2016,"28/5/2016","513.7",,1600,,"no","No"
3074,"Velkis Afú","MICI","Velkis","Afú","Jefa de asuntos bilaterales y multilaterales de la dirección de negociaciones comerciales internacionales dineci","honduras","honduras","15:-86,5'","Participó de la ""Cuarta Ronda de Negociación del Tratado de Libre Comercio entre Centroamérica y Corea"" realizado en Tegucigalpa, Honduras.","23/5/2016",2016,"27/5/2016","597.7",,1600,,"no","No"
3075,"S:e. Salazar","MICI","S:E.","Salazar","Viceminstra de negociaciones comerciales internacionales","honduras","honduras","15:-86,5'","Participó de la ""IV Ronda de Negociaciones paraun Tratado de Libre Comercio entre Centroamérica y Corea"" realizado en Tegucigalpa, Honduras","22/5/2016",2016,"28/5/2016","1119.97",,3000,,"no","No"
3076,"Alexander Santoya","MICI","Alexander","Santoya","Jefe de normas de origen de la dirección de negociaciones comerciales internaiconales dineci","honduras","honduras","15:-86,5'","Participó de la ""Cuarta Ronda de Negociación del Tratado de Libre Comercio entre Centroamérica y Corea"" realizado en Tegucigalpa, Honduras.","22/5/2016",2016,"28/5/2016","537.7",,2400,,"no","No"
3077,"Julissa Estrada","MICI","Julissa","Estrada","Abogada negociadora de la dirección de negociaciones comerciales internacionales dineci","honduras","honduras","15:-86,5'","Participó de la ""Cuarta Ronda de Negociación del Tratado de Libre Comercio entre Centroamérica y Corea"" realizado en Tegucigalpa, Honduras.","22/5/2016",2016,"28/5/2016","537.7",,2400,,"no","No"
3078,"Pebbles Muñoz","MICI","Pebbles","Muñoz","Analista de comercio exterior de la dirección nacional de negociaciones comerciales internacionales dineci","honduras","honduras","15:-86,5'","Participó de la ""Cuarta Ronda de Negociación del Tratado de Libre Comercio entre Centroamérica y Corea"" realizado en Tegucigalpa, Honduras.","22/5/2016",2016,"28/5/2016","537.7",,2400,,"no","No"
3079,"Luis Garrido","MICI","Luis","Garrido","Director nacional de la dirección naiconal de negociaciones comerciales internacionales dineci","honduras","honduras","15:-86,5'","Participó de la ""Cuarta Ronda de Negociación del Tratado de Libre Comercio entre Centroamérica y Corea"" realizado en Tegucigalpa, Honduras.","22/5/2016",2016,"28/5/2016","537.7",,2400,,"no","No"
3080,"Pilar Santiago","MICI","Pilar","Santiago","Abogada negociadora de la dirección de negociaciones comerciales internacionales dineci","honduras","honduras","15:-86,5'","Participó de la ""Cuarta Ronda de Negociación del Tratado de Libre Comercio entre Centroamérica y Corea"" realizado en Tegucigalpa, Honduras.","22/5/2016",2016,"26/5/2016","597.7",,1600,,"no","No"
3081,"Lizamor César","MICI","Lizamor","César","Jefa de servicios e inversión de la dirección de negociaciones comerciales internacionaels dineci","honduras","honduras","15:-86,5'","Participó de la ""Cuarta Ronda de Negociación del Tratado de Libre Comercio entre Centroamérica y Corea"" realizado en Tegucigalpa, Honduras.","22/5/2016",2016,"26/5/2016","597.7",,1600,,"no","No"
